id,source,date,rating,text,discovery_related,theme,desired_behavior,repetition_cause,behavior_segment,primary_discovery_surface,tier,unmet_need,sentiment,evidence_phrase
21,app_store_us,2026-06-25T19:50:24-07:00,5,"Spotify is great, but they asked for review 5 times a day",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,asked for review 5 times a day
22,app_store_us,2026-06-25T02:43:38-07:00,5,Give me 1year free subscription pleaseeeeeâ¤ï¸ðŸ¥¹,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,none
23,app_store_in,2026-06-12T00:18:41-07:00,5,Best app if you buy there premium ðŸ‘ðŸ¥°,false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,positive,Best app if you buy there premium
24,play_store_in,2026-06-25 03:10:42,5,I love this music app,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,I love this music app
25,app_store_in,2026-06-10T06:29:31-07:00,1,You introduced the 1 week plan and now youcompletley removed it,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,completley removed it
26,play_store_in,2026-06-24 20:46:24,5,awesome app has amazing experience,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,amazing experience
27,app_store_us,2026-06-25T06:12:35-07:00,5,Siempre tengo mi mÃºsica a la mano y no me falla.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
28,play_store_in,2026-06-24 13:19:27,5,great app nothing more am happy,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,great app nothing more am happy
29,play_store_in,2026-06-26 09:54:46,1,they became money hungry ðŸ«©âœŒðŸ¼,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,they became money hungry
30,app_store_us,2026-06-25T16:38:39-07:00,4,So tuff,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,So tuff
31,play_store_in,2026-06-25 22:23:51,5,Good ðŸ‘,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,Good
32,play_store_in,2026-06-24 18:25:35,5,ðŸ”,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
33,app_store_us,2026-06-25T19:25:06-07:00,3,Swiping left from anywhere on the screen should go back to the previous screen,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,Swiping left/should go back
34,play_store_in,2026-06-25 20:44:08,5,I love Spotify it's one of my favorite apps it provides so many genres and I can listen to every single song I want. It's really easy to use and you can jam all night plus they added a music video option which is really exciting. It doesn't have that many ads which Is rare and really adore this app,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,listen to every single song I want
35,play_store_in,2026-06-25 23:34:18,5,I just don't like ads,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,I just don't like ads
36,play_store_in,2026-06-24 08:50:22,5,best streaming platformðŸ™ŒðŸ½,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,best streaming platform
37,play_store_in,2026-06-24 15:17:30,1,"Spotify was great, absolutely GOATED back in 2025's start, no to minimum ads, absolute control over music and the subscription was not overpriced, but after a few updates it has genuinely become unusable",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,become unusable
38,play_store_in,2026-06-25 08:08:43,1,isme mere mobile no. login kyo nahi ho raha hai isme chek your number bata raha hai,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,none
39,play_store_in,2026-06-24 07:41:08,2,man let us listen to our playlist in peace stop adding songs,true,unwanted_injection,control_the_algorithm,not_applicable,familiarity_anchored,smart_shuffle,unclear,wants no auto-added songs in playlist,negative,stop adding songs
40,play_store_in,2026-06-25 23:23:53,5,wonderful and easy to use.. really good to enjoy the music.its beyond what my expectation,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,really good to enjoy the music
41,app_store_in,2026-06-21T12:16:59-07:00,2,"1. I added some 10 addresses and none of it could be found in your app, I had to select a place 6 km away from my own place as my address. 2. Why was it not mentioned before buying the plan that all 3 accounts have to live in the same geography? My brother lives in Canada and I wanted to share the plan with him, itâ€™s useless for me now! 3. Why did you guys discontinue the annual subscription? 4. The site doesnâ€™t open from the app, I click on â€œBuy a Planâ€ and nothing happens, not even redirection!",false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,none could be found in your app
42,play_store_in,2026-06-26 07:46:49,1,"too many ads , before it was the best but the sheer amount of ads and you can't choose the song has ruined Spotify for me",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,too many ads
43,play_store_in,2026-06-26 06:06:13,1,not provide anything interesting related to my taste,true,bad_recommendations,find_new_artists,not_applicable,unclear,none,unclear,wants recs matching personal taste,negative,not provide anything interesting related to my taste
44,play_store_in,2026-06-24 19:51:34,5,sensational. all my songs available,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,unclear,none,positive,all my songs available
45,play_store_in,2026-06-25 19:36:34,5,it is the best platform to listen to music,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,best platform to listen to music
46,play_store_in,2026-06-25 05:26:15,5,very nice app for listning song,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,very nice app for listning song
47,app_store_in,2026-06-24T10:41:42-07:00,1,Songs are not playing as per play list,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,Songs are not playing as per play list
48,app_store_in,2026-06-22T23:32:00-07:00,5,I liked it but everything needs money,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,everything needs money
49,app_store_us,2026-06-25T19:34:23-07:00,1,"Itâ€™s genuinely so unbelievable that I have to sit through 4 ads a minute long each,the entire app feels like itâ€™s locked behind a paywall",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,locked behind a paywall
50,app_store_us,2026-06-24T17:46:05-07:00,5,"Even better with AI feature, simply nothing to complain about, love it",true,other_discovery,none_stated,not_applicable,unclear,ai_dj,unclear,none,positive,Even better with AI feature
51,app_store_in,2026-06-17T07:33:04-07:00,5,But add some more powerful tantric frequencies,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,add some more powerful tantric frequencies
52,play_store_in,2026-06-24 04:57:12,5,v.good,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,v.good
53,play_store_in,2026-06-26 03:43:40,1,"Its for Just Rich People Who Able To Buy Premium Otherwise We Dont Able To Even Stream Any Song That We Want Neither We Able To Skip, All Things Have Limitation But I Use Spotify Cause It Has a Good Page Compared To Other Streaming Platforms",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,Just Rich People Who Able To Buy Premium
54,app_store_in,2026-06-20T15:48:11-07:00,5,"So she just blocked me on spotify out of her hate towards me, and now the playlist we made for us is not accessible for both of us, can yall add smth through which i can have access to that playlist it means a lot to me reallyâ€¦ Thanks for consideration.",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,playlist/is not accessible for both of us
55,play_store_in,2026-06-25 13:21:23,1,"imagine, buying a plan that cost 3$ but can even using the apps because the apps network so fcknngg trashh",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,apps network so/trashh
56,play_store_in,2026-06-26 04:51:53,5,absolutely am loving using this app. every song I've looked for has been here. being able to customise playlists for different occasions. well done guys keep up the good work.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,every song I've looked for has been here
57,play_store_in,2026-06-26 13:22:18,5,Spotify has music ðŸŽ¶ for everyone great classics. I was listening to Spotify the music is crystal clear ðŸ‘Œ on many devices. who needs the cd player. when Spotify provides great sounds. and lots to listen too when ever you want to use this service : ),false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,music for everyone great classics
58,play_store_in,2026-06-26 08:25:56,3,yes it's good but one problem is that I don't play more than 6 songs without subscriptions,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,don't play more than 6 songs without subscriptions
59,play_store_in,2026-06-24 22:01:11,1,too many adds,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,too many adds
60,play_store_in,2026-06-25 10:38:50,5,Best music search.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,Best music search
61,play_store_in,2026-06-24 13:23:05,1,Limited playback to non premium even ready to listen to your ads 6 skips in an hour? consistent in disappointing,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,6 skips in an hour
62,play_store_in,2026-06-26 05:57:44,5,wonderful ðŸ‘ application. thanks,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,wonderful application
63,play_store_in,2026-06-25 13:58:16,5,it's really good,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,it's really good
64,play_store_in,2026-06-25 04:34:43,1,what do you mean I got pop up to buy premium when I already pay for premium? Didn't I pay real money so I can open the app and play my music in peace? stop pushing your ai bull on us if you don't want me to just stop using your service.,false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,stop pushing your ai bull on us
65,play_store_in,2026-06-24 18:00:16,4,just the best love you Spotify ðŸ˜ ðŸ˜ŠðŸ¤,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,just the best love you Spotify
66,app_store_us,2026-06-25T23:49:18-07:00,1,I recently made a really good playlist and I love listening to it on shuffle but now I canâ€™t unless I get premium which I donâ€™t have money for this really makes me sad and itâ€™s like I have nothing and no abilities in this app anymore. I literally canâ€™t do anything but add songs and when I try to listen to a certain place puts on songs that I donâ€™t even know that I donâ€™t even like Spotify was great but now itâ€™s horrible and I donâ€™t love it anymore,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,free,none,negative,puts on songs that I don't even know
67,play_store_in,2026-06-25 19:23:16,5,It's ok,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,It's ok
68,app_store_in,2026-06-10T06:53:55-07:00,2,Add there is so much add between songs,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,so much add between songs
69,app_store_us,2026-06-25T09:23:41-07:00,5,The fact that there are so many people have commercials itâ€™s like being back in The 90s watching tv where you get 5 min of show and 20 min of commercials. Podcasters do it right and have there own breaks and plugs,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,5 min of show and 20 min of commercials
70,play_store_in,2026-06-26 11:09:03,1,keeps on pausing without touching it,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,keeps on pausing without touching it
71,app_store_us,2026-06-25T10:23:41-07:00,1,"Every update makes this worse. A little slower each time until it takes a full minute just to get to see your music. More and more ai stuff no one ever wanted, more and more promotion of their sponsored artists. You canâ€™t even shuffle without sponsored music taking over your randomization. This thing is just bad now",true,repetition_loop,control_the_algorithm,algorithm_narrow,familiarity_anchored,smart_shuffle,unclear,wants shuffle without sponsored songs injected,negative,sponsored music taking over your randomization
72,app_store_in,2026-06-14T23:17:09-07:00,1,now since spotify made the shuffle feature unable to turn off or on without premium spotify has been getting pretty useless. and even when i try to go and pay for premium it just says payments are done outside the app. then where do i go?!?! and to top it off the app glitches so much. every 5 seconds a song will either stop playing suddenly or just kill the app. please fix these issues and maybe more people will use this app more often,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,shuffle feature unable to turn off
73,play_store_in,2026-06-25 09:34:03,1,"i bought the premium but my spotify keep offline and can't open it for a while ,please fix the bug you freak",false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,spotify keep offline and can't open it
74,app_store_in,2026-06-18T11:23:12-07:00,5,it really brings out the best from your audio setup,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,brings out the best from your audio setup
75,play_store_in,2026-06-25 12:37:32,1,since the update no sound will come only TV while using app at home,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,no sound will come only TV
76,play_store_in,2026-06-26 11:58:31,5,this is good app ðŸ‘ no issues,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,this is good app no issues
77,play_store_in,2026-06-24 13:38:48,5,"For me, Spotify is by far the best Music Streaming Platform available. Superb quality sounds and so easy to use and connection to your chosen speaker or amp set up is a doddle. Vast catalogue of artists and contributors to choose from too. Excellent.",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,best Music Streaming Platform available
78,play_store_in,2026-06-25 14:08:45,4,bast songs,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,bast songs
79,play_store_in,2026-06-24 06:11:09,5,one of my favourite app,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,one of my favourite app
80,play_store_in,2026-06-25 03:26:17,5,"Works well, great choices of music. My go to for great music. Still 5 stars in '26.",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,great choices of music
81,play_store_in,2026-06-26 01:44:28,5,so good,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,so good
82,play_store_in,2026-06-25 04:58:09,5,Spotify provides access to a huge collection of music and podcasts. I have used this app to improve my English using english podcasts and also it helps me with my car sickness when I listen here. I enjoy it a lot listening to my favorite songs and discovering new musics.,true,other_discovery,find_new_artists,not_applicable,active_explorer,none,unclear,wants to keep discovering new music,positive,discovering new musics
83,play_store_in,2026-06-25 21:17:48,5,love ðŸ˜˜ðŸ˜˜,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,love
84,play_store_in,2026-06-25 11:25:39,5,"best app, to be honest,",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,best app to be honest
85,play_store_in,2026-06-25 13:42:19,4,ayt,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,ayt
86,app_store_in,2026-06-16T01:44:54-07:00,1,Should work without WiFi And no ads,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,without WiFi And no ads
87,app_store_us,2026-06-25T08:14:28-07:00,5,I can listen to my favorites songs over and over again love this app I totally would recommend it,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,unclear,none,positive,listen to my favorites songs over and over again
88,play_store_in,2026-06-25 17:55:52,5,wow wow,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,wow wow
89,play_store_in,2026-06-26 12:32:39,1,"the app will not load I've uninstalled it an d reinstalled it but it will not let me log on before crashing .Ive now done a full reinstall like you asked me to , I still cannot sign back into Spotify so alas i'm away to a better music app that WILL let me use their music. my score for you is unprintable FIX your ..... app!!",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,the app will not load
90,app_store_us,2026-06-25T11:31:23-07:00,5,They recommend me the BEST songs so yeah itâ€™s a five stars :p,true,other_discovery,none_stated,not_applicable,unclear,none,unclear,wants good song recommendations,positive,recommend me the BEST songs
91,play_store_in,2026-06-25 13:30:35,2,"I enjoy listening to music on Spotify, and I honestly don't mind the ads that come with the free version. What frustrates me is that the app keeps going black or suddenly stops working for no reason. I've lost count of how many times I've had to uninstall and reinstall the app just to get it working again, only for the same problem to come back later. It's becoming really annoying because I just want to listen to my music without constantly troubleshooting. Fix this issue please ðŸ¥º",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,app keeps going black or suddenly stops
92,play_store_in,2026-06-26 13:07:25,1,Spotify is now useless and now it's too much they are forcing us to buy a subscription which is literally frustrating which is the reason of its uninstallation from my phone ðŸ˜¡ðŸ˜¡ðŸ˜¡,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,forcing us to buy a subscription
93,play_store_in,2026-06-26 12:51:42,3,this app is good but this app have over & long time ads.,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,over & long time ads
94,play_store_in,2026-06-25 02:21:26,3,I don't get any sound from the app it's just blank,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,I don't get any sound from the app
95,app_store_us,2026-06-24T18:15:16-07:00,5,Spotify couldnâ€™t be better,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,Spotify couldn't be better
96,play_store_in,2026-06-25 15:49:09,5,my therapy and needs to be pumped into my veins.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,my therapy
97,play_store_in,2026-06-25 22:45:18,5,clear music,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,clear music
98,play_store_in,2026-06-26 12:29:19,2,Too many ads,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,Too many ads
99,play_store_in,2026-06-25 16:20:52,5,if you get premium it's awesome otherwise I won't,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,if you get premium it's awesome otherwise I won't
100,play_store_in,2026-06-24 18:11:14,1,"PÃ©sima aplicaciÃ³n. Se desconecta del internet fÃ¡cilmente. ActualizaciÃ³n: sigue tardando en conectarse, le doy un mes mÃ¡s a Spotify para migrar a Youtube.",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,Se desconecta del internet fácilmente
101,play_store_in,2026-06-24 15:42:59,5,ðŸ–¤ðŸ–¤ðŸ–¤,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,none
102,play_store_in,2026-06-25 02:26:36,5,love that you can save your fav songs and hear when offline,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,unclear,none,positive,save your fav songs and hear when offline
103,app_store_us,2026-06-25T23:01:36-07:00,5,A friend of mine at work forwarded a free month special to try this out. I have probably around 15-20k$ on n my truck audio system and appreciate sound quality. I miss the ol days of CD quality but this is seriously on par with SQ. I find myself listening to many of my old regular songs because I hear things I havnt heard in years. This has been a breath of fresh air and do not mind adding it to my monthly streaming expenses. Well worth it.,true,repetition_loop,none_stated,user_habit,familiarity_anchored,none,premium,none,positive,listening to many of my old regular songs
104,play_store_in,2026-06-24 15:05:06,5,ðŸ¤ŒðŸ»,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,none
105,play_store_in,2026-06-24 08:11:09,5,fantastic nice super,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,fantastic nice super
106,play_store_in,2026-06-25 14:28:33,4,"Music and podcast is much appreciated because of the sound quality. The only thing that needs improvement is that when you subscribe, payments will automatically deduct from your gcash",false,not_discovery,none_stated,not_applicable,spoken_audio,none,premium,none,neutral,Music and podcast is much appreciated
107,app_store_in,2026-06-10T19:45:16-07:00,1,"I was trying to play song , after every two song ad comes , i tried to pay for premium. There is no option for payment. Please make it simple",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,after every two song ad comes
108,play_store_in,2026-06-25 04:59:18,4,",,0,, ðŸ™ ki. , , m to. ,, , ,v ,, r a,0,, , n ,, , , maag",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,none
109,play_store_in,2026-06-24 14:22:17,2,"After one song you have 3 or 2 ads and yeah I won't pay 11,99 for no ads and something else and most of the times it lags also I remember when they didn't have ads and I'm pretty sure they had 5 stars then now it's 4.5",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,After one song you have 3 or 2 ads
110,play_store_in,2026-06-25 23:00:41,2,"Loved Spotify on Apple devices for years but the Android version is slow, buggy, and takes up half my ram. The widget is hideouuuus",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,"Android version is slow, buggy"
111,play_store_in,2026-06-24 11:27:06,1,worst app ever uninstalling it ðŸ˜’ I have jiosavan better than this one I have free subscription as well for that,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,worst app ever uninstalling it
112,play_store_in,2026-06-25 04:01:55,5,horrible,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,horrible
113,play_store_in,2026-06-25 14:37:46,1,Jio saavn is better.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,Jio saavn is better
114,app_store_us,2026-06-25T10:07:58-07:00,5,I love it so much I use it almost everyday and I donâ€™t have premium. Iâ€™ve been using Spotify for almost 3 years now and it hasnâ€™t let me down at all. I love how I can listen to my favorite bands without it telling me that my listening time is up like a lot of music apps that Iâ€™ve used in the past. If you listen to music 24/7 like I do I would definitely recommend using Spotify.,false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,free,none,positive,listen to my favorite bands
115,app_store_us,2026-06-25T07:37:06-07:00,5,I enjoy the variety of music catered to my moodâ€¦,true,other_discovery,mood_context_discovery,not_applicable,mood_context_listener,none,unclear,wants music matched to mood,positive,variety of music catered to my mood
116,play_store_in,2026-06-25 07:48:16,5,Sanjay,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,none
117,play_store_in,2026-06-24 18:49:51,1,aji gana nahi balki land bajta hai,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,none
118,play_store_in,2026-06-24 14:32:01,5,"I love it , it's got everything I was looking for, best download ever xxx updated on the 24th June it won't open now ,please fix it x",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,it won't open now
119,play_store_in,2026-06-26 02:51:05,1,"I want to talk about the widget that Spotify insisted I update, but that never works!!! When will that be fixed?!",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,widget/that never works
120,play_store_in,2026-06-25 09:03:15,5,can we have comments section for each songs,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,neutral,can we have comments section for each songs
121,play_store_in,2026-06-24 22:49:18,5,It really works and has several good artists I just wish it took up less room,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,several good artists
122,play_store_in,2026-06-24 05:52:12,5,excepcional!,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,excepcional
123,play_store_in,2026-06-25 15:41:05,5,best music app ever,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,best music app ever
124,play_store_in,2026-06-26 01:06:29,5,"Simple, elegant, huge amount of music.",false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,huge amount of music
125,play_store_in,2026-06-25 18:22:54,2,"too many ads about premium, can't play our song of choice because we didn't pay for the premium. we have to listen to the song of their choice, which is too irritating. it's not like money grows on trees, is it?",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,can't play our song of choice
126,play_store_in,2026-06-24 04:01:23,5,wow! I am Happy I have this App. Thank you!,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,Happy I have this App
127,app_store_in,2026-06-18T20:43:49-07:00,5,Always a great experience. Amazing sound quality! â˜ºï¸,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,Amazing sound quality
128,play_store_in,2026-06-24 18:49:25,1,a bit of music is interrupting my ads,false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,music is interrupting my ads
129,app_store_us,2026-06-24T20:08:07-07:00,4,"Why did you take the repeat button away in the update? And I donâ€™t like that I have to mash up my songs, and on top of that you guys did that because what? Because the only way I can listen to my music without getting upset is on console. But the music is good and all.",false,not_discovery,none_stated,not_applicable,familiarity_anchored,none,free,none,negative,take the repeat button away
130,play_store_in,2026-06-24 19:33:42,1,"Why do I have to listen to what Spotify picks from my playlist and not what I pick, it never was like that, the app should be called spotify premium only because Normal spotify users don't have any advantages anymore",true,repetition_loop,control_the_algorithm,algorithm_narrow,familiarity_anchored,smart_shuffle,free,wants to play own picks not Spotify's,negative,listen to what Spotify picks from my playlist
131,app_store_in,2026-06-25T02:42:54-07:00,5,I am Spotify last 1 and half years and very satisfied with spotify all over music experience is good,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,very satisfied with spotify
132,play_store_in,2026-06-26 07:13:39,5,"pls remove ads ,I have taken premium",false,not_discovery,none_stated,not_applicable,unclear,none,premium,none,negative,pls remove ads I have taken premium
133,play_store_in,2026-06-24 10:45:55,1,It doesn't work at all.,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,negative,It doesn't work at all
134,app_store_us,2026-06-24T18:52:59-07:00,4,"I love the music on here, but they treat you like garbage if you donâ€™t have premium and it angers me",false,not_discovery,none_stated,not_applicable,unclear,none,free,none,negative,treat you like garbage if you don't have premium
135,play_store_in,2026-06-25 18:12:56,5,it's easy to search for a song,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,easy to search for a song
136,app_store_us,2026-06-25T18:12:11-07:00,5,Hii Spotify i just wanted to ask if that u can add this update to the app. Can u add one where u can move it to the part u want it to be or skip a part if not thats ok but its a good app I hope u see this,false,not_discovery,none_stated,not_applicable,unclear,none,unclear,none,positive,it's a good app
